verified_id,reviews
89, first camera love takes wonderful pictures kit enjoyed far capabilities make transferring images breeze using canon able shoot without touching camera learning curve auto settings great begin information need learn advance techniques
90, looking camera take next level one saw cameras much one feel like pictures much better one things found helped finding right pictures battery life camera weeks without charge recommend getting card
91, looking easy use camera interchangeable lenses friend grandson purchased camera similar one really liked package deal final aspect sold camera allowing get two lenses case one price photos camera clear bright beautiful definite beginner someone want spend thousands good camera
92, shoot professional basis anyone would tell camera compete big boys know talking put results come lacking good camera novice pro great value money
93, black purchase looking camera take cruise expecting see spectacular scenery also come close wildlife mostly needed camera could accomplish yet simple enough novice like luckily someone cruise helped understand various functions came away great pictures would definitely recommend one
94, camera features would expect point shoot camera looking suggest buying something less expensive otherwise great camera beginner photographers want creative control image composition great price getting start charging work camera pay tenfold time
95, looking venture photography looking easy use camera one perfect put automatic mode shoot away trying manual setting get familiar camera got bundle longer lens great deal
96, latest version canon rebel still awesome especially price many many years ago got original rebel first came twice price third one loved still loving likely always stick canon life since pictures takes fantastic kit lenses case perfect
97, liked camera easy understand features amp performance great came amp great sharing pictures like weight became unbalanced amp heavy pictures overall performance photography using amp distance using
98, canon power shot love decided wanted ability take shots away camera great took photos flight memorial last week lens excellent step power shot complicated casual photo like
99, great camera easy use box automatic modes many allow user set settings versus recommend watching basics allows user leave realm settings experiment adjustments really clear pictures packaged nicely
100, great camera bought one best representatives told come microphone one thing upset microphone port actually remote port anyway return camera mentioned best buy went store get needed actually reimbursed next purchase gift card mail
101, contemplating moving point shoot time price canon made decision easy using take holiday pictures honestly say easy use point shoot cameras granted deep using manual settings yet built auto settings nice pictures look great
102, used mine extensively taking thousands wildlife landscapes still life even sports action easy kit learn shutter speeds rate stars exhibit known error occasionally shutter mirror operations lens communication err usually get past annoyance eventually
103, purchased canon rebel camera lens wife birthday take trip nice entry level model space feel like got great deal purchase price lower seen anywhere else best buy excellent one kit two lenses carrying bag wife thrilled
104, bought camera gift year old young lady church gift really wanted staff went beyond way sure would using within minutes taking box ease say least wonderful success accepts would camera everyone first camera would buy
105, town business son called saying needed good camera next morning one classes miles away found great camera sale available store near picked couple hours later camera great price paid package great value things worked better
106, purchased camera upgrade old rebel camera exceeded expectations easy use buttons similar used older model extended perfect lower light situations camera lightweight sturdy bag came purchase fits well even able put lens bag room much
107, bought gift year old interested point shoot camera could happier loves everything camera features feel got great product price passion photography continues may last camera lenses ever owns perfect many years
108, bought camera daughter loves taking photos wants old camera would allow camera allows take great photos change settings different situations loves camera would highly recommend beginners causal family photo taking
109, employee patient knew wanted know begin explained looking camera patiently showed everything ability choose forced sales pitch even better plus photographer shared experiences type camera offered upon decision said one
110, great first digital camera great photographer much experience taking pictures types cameras fairly easy use except times camera takes long focus difficult little ones always participate like want wise really nice cool screen back like send phone instant sharing
111, bought camera phone running space hesitated first price bought wanted able use remote take pictures camera function ended returning capabilities still good camera overall
112, great camera start even someone experienced price good products bought camera school taken photography past years thinking would get year could buy better one next year doubt give one time soon really love
113, great starter camera amateur photographer family capture photos everyday life amp events lightweight durable user friendly exploring creative options fun automatic settings great bundle came everything needed except memory card amp tripod loving far glad finally camera phone amp pay professional
114, purchased camera old daughter going special trip shown tremendous interest photography found camera easy use really enjoying speaking friends greater knowledge experience photography almost universally praised canon great camera daughter beginning skills enough flexibility grow
115, bought camera step photography skills love camera fact pictures better quality compared old camera feature love connection able control camera phone able pictures home network short good purchase
116, got camera help tried shots scenarios wide angle close moving subject dim light night time keep rotating two lens lot fun made satisfactory pictures beginner great deal got would absolutely recommend friends deal better comes
117, keep review short simple first camera bundle everything need photography opinion great camera start learning super easy use high quality pictures shooting past days taken amazing pictures worth every penny thinking buying disappointed
118, took photography high school film cameras got love taking pictures decided buy camera camera awesome taking great pictures took like week learn everything hard
119, bought camera black great far still getting hang everything managed take great shots camera professional photographer whatsoever really bought camera take nice pictures pets family use special occasions really think camera worth money
120, camera incredibly easy use shocked easy manual understand took camera beach photographed waterfront pictures came absolutely stunning great camera someone looking dive photography
121, seems like great camera far like great beginner still great professional quality photos spectacular either lens happy purchase lot features honestly sure use yet hopefully manual helpful
122, camera perfect someone getting started serious photography great price items receive camera takes amazing quality photo beginners especially fan instant smart phone option photos rated stars covers ports stay
123, love camera endless amount features modes taking everything especially love press hold button holding show slide format lots instructional operate issues like connect complicated
124, camera easy use people amazed picture quality love feature load pictures directly also use phone control camera wait take one beginner courses offer
125, great camera easy use camera takes great pictures able memories lifetime downfall figure directly computer instead cell phone going back best buy quick training pictures offer classes cameras needed would definitely recommend camera others
126, looking something digital camera take picture like cell phone canon looking easy use take awesome pictures using lens never missed daughter school program never get good pictures sit far stage move much type problem like camera
127, love wonderful quality camera looking canon sure photography wait get series better much much cheaper missing features quality photo pretty much identical
128, take quite photos airplane incredible shots feet gulf beaches sharks numerous postcard shots islands coastline capture local areas ease landscapes people quick adjustment camera land beautiful memories created bundle camera lenses bag perfect fit needs good value bundle
129, looking fast automatic got also got camera allows get shots impossible get auto features battery life great pictures simple fast image quality superb
130, using film camera many years create photos fine art camera revolution much fun able take wildlife paint pictures really sharp get moving wildlife get away also heavy carry hike thru forest national wildlife refuge highly recommend
131, dad got gift brother fun likes works well comes strap bag extra lens really camera beginner lot options unless familiar cameras takes get value thought quite expensive could probably bought cheaper elsewhere hurry
132, bought camera gift graduating college wanted get photography hobby looked stores variety different cameras ended purchasing bundle camera many different features comes two lenses along bag carry camera worked amazing far everything needed get started
133, looking around month finally settled camera daughter taking photography class canon rebel good camera break bank another retailer sale best buy price matched along interest rate period months solid camera great deal
134, bought camera package husband birthday become amateur photographer takes quite pictures wildlife area wanted better camera larger lens take better pictures set sale time great deal perfect really loves camera fun learning uses
135, like camera fun easy uses professional user canon cameras name brand camera even bought gift love well canon rebel love build ask best camera best price
136, owned canon camera previously easy transition rebel similar features button symbols photos process manual rebel easy use understand sketches accompany written descriptions quality photos excellent used trip pleased quality first attempt
137, looking camera film purposes expecting top notch one needed one school projects started filming first short blown away good quality price excellent option personal projects kit great get near movie quality bringing exposure
138, connection gets photos phone almost instantly gives best worlds first get outstanding pictures lenses get even best new cameras second still get post pictures web without taking card camera copying computer
139, great camera told employees using video neglected tell external input return better camera unnecessary charge returns literally want money policy
140, love used cheap point shoot camera finally upgraded camera love taking beautiful shots lens best kit still get great shots get mm lens great portrait shots regret
141, easy use great pictures scene intelligent mode love monitor large works well photo review battery long life camera lightweight easy carry traveling necessity changing lenses however process quick easy good camera photos desiring ease convenience
142, never owned actual camera cell phone cameras ones used years real camera great experience far great value great quality photos great camera learn really looking forward using next month vacation
143, got canon rebel camera lens black looking buy new digital camera price great camera wonderful takes excellent pictures works perfect needs canon cameras satisfied canon product long time
144, checked prices exact item target better price best buy closer best buy salesman happy match pricing well answer questions time important always receive excellent service best buy cash program best
145, looking around suitable camera replacement saw canon rebel light weight camera get results looking great beginner well intermediate level camera person may bells amazed camera price also great
146, amazing deal camera package great camera package budding photographer things crazy expensive one time much able purchase younger brother far loves professional photographer say opinion pictures takes seem awesome clear far awesome
